sample-id,absolute-filepath,direction
026_Ceg,$PWD/data/mini.026_Ceg.2.fastq,reverse
026_Ceg,$PWD/data/mini.026_Ceg.1.fastq,forward
029_Zab,$PWD/data/mini.029_Zab.2.fastq,reverse
029_Zab,$PWD/data/mini.029_Zab.1.fastq,forward
044_Tal,$PWD/data/mini.044_Tal.2.fastq,reverse
044_Tal,$PWD/data/mini.044_Tal.1.fastq,forward
120_Ceg,$PWD/data/mini.120_Ceg.1.fastq,forward
120_Ceg,$PWD/data/mini.120_Ceg.2.fastq,reverse
125_Zab,$PWD/data/mini.125_Zab.2.fastq,reverse
125_Zab,$PWD/data/mini.125_Zab.1.fastq,forward
142_UR19,$PWD/data/mini.142_UR19.1.fastq,forward
142_UR19,$PWD/data/mini.142_UR19.2.fastq,reverse
224_UR19,$PWD/data/mini.224_UR19.2.fastq,reverse
224_UR19,$PWD/data/mini.224_UR19.1.fastq,forward
228_Tal,$PWD/data/mini.228_Tal.2.fastq,reverse
228_Tal,$PWD/data/mini.228_Tal.1.fastq,forward
276_UR19,$PWD/data/mini.276_UR19.2.fastq,reverse
276_UR19,$PWD/data/mini.276_UR19.1.fastq,forward
284_Tal,$PWD/data/mini.284_Tal.2.fastq,reverse
284_Tal,$PWD/data/mini.284_Tal.1.fastq,forward
310_Ceg,$PWD/data/mini.310_Ceg.1.fastq,forward
310_Ceg,$PWD/data/mini.310_Ceg.2.fastq,reverse
314_Zab,$PWD/data/mini.314_Zab.1.fastq,forward
314_Zab,$PWD/data/mini.314_Zab.2.fastq,reverse
680_UR19,$PWD/data/mini.680_UR19.2.fastq,reverse
680_UR19,$PWD/data/mini.680_UR19.1.fastq,forward
683_Tal,$PWD/data/mini.683_Tal.2.fastq,reverse
683_Tal,$PWD/data/mini.683_Tal.1.fastq,forward
716_Ceg,$PWD/data/mini.716_Ceg.1.fastq,forward
716_Ceg,$PWD/data/mini.716_Ceg.2.fastq,reverse
719_Zab,$PWD/data/mini.719_Zab.2.fastq,reverse
719_Zab,$PWD/data/mini.719_Zab.1.fastq,forward
760_Ceg,$PWD/data/mini.760_Ceg.2.fastq,reverse
760_Ceg,$PWD/data/mini.760_Ceg.1.fastq,forward
763_Zab,$PWD/data/mini.763_Zab.1.fastq,forward
763_Zab,$PWD/data/mini.763_Zab.2.fastq,reverse
769_UR19,$PWD/data/mini.769_UR19.2.fastq,reverse
769_UR19,$PWD/data/mini.769_UR19.1.fastq,forward
772_Tal,$PWD/data/mini.772_Tal.2.fastq,reverse
772_Tal,$PWD/data/mini.772_Tal.1.fastq,forward
814_UR19,$PWD/data/mini.814_UR19.1.fastq,forward
814_UR19,$PWD/data/mini.814_UR19.2.fastq,reverse
817_Tal,$PWD/data/mini.817_Tal.2.fastq,reverse
817_Tal,$PWD/data/mini.817_Tal.1.fastq,forward
847_Zab,$PWD/data/mini.847_Zab.2.fastq,reverse
847_Zab,$PWD/data/mini.847_Zab.1.fastq,forward
850_Ceg,$PWD/data/mini.850_Ceg.1.fastq,forward
850_Ceg,$PWD/data/mini.850_Ceg.2.fastq,reverse
